# Commit hash map for the author-identity rewrite of experiment 01.
#
# WHY THIS FILE EXISTS
#   Before publication the repository's git history was rewritten to replace the author and
#   committer identity, which had been a personal email address, with a GitHub no-reply address,
#   and to strip a session-URL trailer from every commit message. Rewriting the identity changes
#   every commit hash.
#
#   The run bundles under runs/*/bundle.json record the commit each experiment ran at. Those
#   recorded hashes are the OLD ones and no longer exist in this repository. This file maps them
#   to the commits that replaced them, so a bundle can still be traced to its code.
#
# WHAT WAS AND WAS NOT CHANGED
#   Changed:   author name, author email, committer name, committer email; the session trailer.
#   Unchanged: every file, every tree hash, every author date, every committer date, the order and
#              parentage of commits, and the Co-Authored-By attribution to the model that wrote
#              the code.
#
#   Verified after the rewrite: all 29 old/new pairs have identical tree hashes and identical
#   author and committer dates; git log --all shows exactly one identity; the replaced strings
#   occur zero times across all git objects, refs, the reflog, .git/config and every tracked file;
#   and git fsck reports no dangling or unreachable objects after the reflog was expired and the
#   repository garbage-collected.
#
#   Nothing had been pushed when this happened, so no published history was rewritten. The
#   pre-rewrite history is preserved in an offline backup only.
#
# FORMAT
#   <old commit>  <new commit>  <subject>
#

026b7b6b75efef9ba288658ffeb20730f2c6063e  77fedff7485afa86e61a13e3da5833846dce6a6b  M9 calibrated arm: null on final score, N2 slower to improve
0ea5f72bd457bc15877b372ccb149a8d75a984ea  12abd5dd37299a2e0dfb6f030cb3962a6a0d87e6  Food geometry scales with headcount; genomes carry their gains
1217ab1e29a0af37730a88abce9ecd36c03e1cf7  b2acc84263e3c0d948f7e428932fc808d693ad51  M7 + M8 results
2f3c560c63e8213e765468e4a7dda097ff455edb  eed510bce14fb876c1edd6e434ab6023907c7b8d  Cover selection, islands and seed pools
34d878cc867241b01237a5f719b32b34bda9abdf  15c7250e901c45a08fbd3b5eff583086082cfcdd  M3: foraging world, recorder, viewer, physics and ledger tests
35028c072e59d54a12ebf544ccdf03b6c8a0fca5  87ab460556104783f0222fd07a2e1abb678bcf12  M2: brain module, semi-implicit integrator, config dataclasses
3502fdd030890f602528cee28b26847229b6d90c  f1ca3d710b62e96a0d9a87beb363dd148a22528a  M7: per-swarm brains, paired evaluation, hall of fame, frozen suite
35de9b7d0aa120ae12e080f157852a6f29c4f1f5  efe80b1c061829e9dfec8f3c08ff6db66a14f64a  Food scales with headcount; frozen suite scored inside the training sizes
3d2454534848b6da85e1a6e10c56dd559668dc37  1a4020ed2ca94ec8af61dc41918925a80ffaf5cf  M6: stage 1+2 combat, bite credit, scripted flank geometry
3dbe593ad70168481b910dfe16793963b578e65b  6c916fc6943216a775ec97ceeb01fc39da2c0fac  M9 complete: both arms, 90 runs, 1.79 GPU-hours
45aa21d01980712e3138c77d0c649f436b5cf83c  7c13d74831bea59157cbcf67a2adacea293b22ff  Tactics: per-run reporting, matched comparison, energy sources measured
6c4d67de19564ae23666273fee3f43f36372495b  f048f892e8efb9b790a328cc2b3b042bd3abb9e9  Correct the M7 section to the post-food-fix re-run numbers
73a1c57495e1c489b16d78fef87a800ec3b97a19  e770646a3c213d7456f2882c6ac185ad53985802  Part 3: freeze experiment 01, retitle, restructure README
793ee9aefaa89a5b6fdb6d62d90cd0bcbbf6aafb  81261ac4d432d6de57b64cf6dff40b3df8b68eb3  Part 4: licence, citation, scrub, gitignore, repo contents
7f5727a400e7113a12a9ae8a10c4a3c9cb4896fa  5dd202cff47841c18d09f3ae6fdfdfef21a376c1  M12 deferred by request; milestones 0-11 complete
844710e09122e7b1f49d4bf1ca1cbce82d2bdf98  d0351f9a6c3a781cd1e7e08af2419e7eed9912da  Part 4: licence, citation, scrub, gitignore
